id,Geographic Area Name,County,City,City Clean,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,"Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL",Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Notes
7950000US0603733,"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California",Los Angeles County (Central),"LA City (Central/Koreatown) PUMA, California",Central/Koreatown,40858,2646.0,0.0,216.0,40858.0,2646.0,36550.0,2523.0,7714.0,1401.0,32775.0,2545.0,1536.0,572.0,5967.0,1446.0,
7950000US0603734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California",Los Angeles County,"LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California","East Central/Silver Lake, Echo Park & Westlake",61455,2867.0,44.0,72.0,61411.0,2874.0,58392.0,2872.0,11025.0,1864.0,48830.0,2679.0,2854.0,1022.0,15669.0,1916.0,
7950000US0603735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California",Los Angeles County,"LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California","Mount Washington, Highland Park & Glassell Park",54401,2546.0,29.0,49.0,54372.0,2551.0,52380.0,2559.0,10074.0,1574.0,43006.0,2297.0,3916.0,913.0,5667.0,1098.0,
7950000US0603736,"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California",Los Angeles County (Central),"Alhambra & South Pasadena Cities PUMA, California",Alhambra & South Pasadena Cities ,37781,1641.0,0.0,216.0,37781.0,1641.0,36354.0,1547.0,4901.0,991.0,28064.0,1928.0,6021.0,1077.0,3165.0,876.0,
7950000US0603737,"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California",Los Angeles County (Central),"Monterey Park & Rosemead Cities PUMA, California",Monterey Park & Rosemead Cities ,32421,1634.0,38.0,64.0,32383.0,1635.0,30945.0,1587.0,3334.0,732.0,23710.0,1385.0,6875.0,1573.0,4845.0,1142.0,
7950000US0603738,"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California",Los Angeles County (Central),"El Monte & South El Monte Cities PUMA, California",El Monte & South El Monte Cities ,29175,1755.0,0.0,216.0,29175.0,1755.0,28322.0,1699.0,4069.0,1023.0,21286.0,1610.0,4533.0,1029.0,5967.0,1159.0,
7950000US0603739,"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California",Los Angeles County (Southeast),"Whittier City & Hacienda Heights PUMA, California",Whittier City & Hacienda Heights ,42479,1644.0,183.0,164.0,42296.0,1667.0,38212.0,1894.0,4902.0,1059.0,35799.0,1808.0,4125.0,987.0,5991.0,1337.0,
7950000US0603740,"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California",Los Angeles County (Central),"Pico Rivera & Montebello Cities PUMA, California",Pico Rivera & Montebello Cities ,29562,1610.0,96.0,114.0,29466.0,1615.0,26414.0,1699.0,3427.0,720.0,24550.0,1653.0,3810.0,917.0,7028.0,1469.0,
7950000US0603741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California",Los Angeles County (Central),"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California","Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities ",28779,1692.0,0.0,216.0,28779.0,1692.0,23282.0,1550.0,6691.0,1070.0,21200.0,1639.0,2888.0,794.0,6381.0,1140.0,
7950000US0603742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California",Los Angeles County (Central),"Huntington Park City, Florence-Graham & Walnut Park PUMA; California","Huntington Park City, Florence-Graham & Walnut Park ",27424,1532.0,0.0,216.0,27424.0,1532.0,23204.0,1510.0,7656.0,1197.0,19044.0,1404.0,3375.0,663.0,4740.0,988.0,
7950000US0603743,"Los Angeles County (Central)--East Los Angeles PUMA, California",Los Angeles County (Central),"East Los Angeles PUMA, California",East Los Angeles ,22487,1943.0,0.0,216.0,22487.0,1943.0,19238.0,1893.0,4274.0,1108.0,17218.0,1777.0,2090.0,647.0,7723.0,1369.0,
7950000US0603744,"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California",Los Angeles County (Central),"LA City (East Central/Central City & Boyle Heights) PUMA, California",East Central/Central City & Boyle Heights,53611,3126.0,40.0,66.0,53571.0,3137.0,51010.0,3147.0,7987.0,1450.0,44523.0,2928.0,2449.0,749.0,14634.0,1662.0,
7950000US0603745,"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California",Los Angeles County (Central),"LA City (Southeast/East Vernon) PUMA, California",Southeast/East Vernon,22883,1768.0,0.0,216.0,22883.0,1768.0,19321.0,1721.0,6874.0,1141.0,14932.0,1509.0,2658.0,857.0,6167.0,1108.0,
7950000US0603746,"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",Los Angeles County,"LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",Central/Univ. of Southern California & Exposition Park,24988,2077.0,0.0,216.0,24988.0,2077.0,23121.0,2048.0,6988.0,1381.0,17577.0,1604.0,1557.0,563.0,5896.0,1022.0,
7950000US0603747,"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California",Los Angeles County (Central),"LA City (Central/West Adams & Baldwin Hills) PUMA, California",Central/West Adams & Baldwin Hills,50096,2951.0,0.0,216.0,50096.0,2951.0,46626.0,2958.0,8121.0,1475.0,40264.0,2691.0,3898.0,847.0,12007.0,1987.0,
7950000US0603748,"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",Los Angeles County,"LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",LA (Southwest/Marina del Rey & Westchester) & Culver City Cities ,75864,3603.0,0.0,216.0,75864.0,3603.0,68744.0,3525.0,5033.0,1393.0,69273.0,3842.0,4175.0,1027.0,10877.0,1813.0,
7950000US0603749,"Los Angeles County (Central)--Inglewood City PUMA, California",Los Angeles County (Central),"Inglewood City PUMA, California",Inglewood City ,31512,1918.0,26.0,44.0,31486.0,1916.0,30296.0,1850.0,5939.0,1203.0,24213.0,2148.0,3001.0,794.0,4400.0,1203.0,
7950000US0603750,"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California",Los Angeles County (South Central),"LA City (South Central/Westmont) PUMA, California",South Central/Westmont,49481,3313.0,0.0,216.0,49481.0,3313.0,45024.0,3353.0,13654.0,2199.0,34825.0,3071.0,4614.0,1200.0,9560.0,1728.0,
7950000US0603751,"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California",Los Angeles County (South Central),"LA City (South Central/Watts) PUMA, California",South Central/Watts,35776,2126.0,66.0,78.0,35710.0,2121.0,31787.0,2143.0,9996.0,1466.0,25088.0,2018.0,3304.0,984.0,6668.0,1243.0,
7950000US0603752,"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California",Los Angeles County (South),"South Gate & Lynwood Cities PUMA, California",South Gate & Lynwood Cities ,31420,1796.0,167.0,173.0,31253.0,1816.0,22855.0,1696.0,5906.0,1156.0,24348.0,1843.0,5088.0,915.0,8715.0,1684.0,
7950000US0603753,"Los Angeles County (South)--Downey City PUMA, California",Los Angeles County (South),"Downey City PUMA, California",Downey City ,29689,1665.0,211.0,215.0,29478.0,1655.0,25259.0,1789.0,4153.0,1121.0,23909.0,1472.0,3259.0,672.0,1973.0,765.0,
7950000US0603754,"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California",Los Angeles County (Southeast),"La Mirada & Santa Fe Springs Cities PUMA, California",La Mirada & Santa Fe Springs Cities ,35786,2068.0,28.0,46.0,35758.0,2074.0,28747.0,2068.0,3431.0,823.0,31240.0,1918.0,2531.0,467.0,4235.0,1130.0,
7950000US0603755,"Los Angeles County (Southeast)--Norwalk City PUMA, California",Los Angeles County (Southeast),"Norwalk City PUMA, California",Norwalk City ,27688,1312.0,0.0,216.0,27688.0,1312.0,23412.0,1581.0,3304.0,948.0,23594.0,1381.0,3769.0,906.0,2279.0,671.0,
7950000US0603756,"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California",Los Angeles County (Southeast),"Bellflower & Paramount Cities PUMA, California",Bellflower & Paramount Cities ,27720,1955.0,0.0,216.0,27720.0,1955.0,23335.0,1724.0,3298.0,710.0,23129.0,1880.0,10700.0,1472.0,6848.0,1252.0,
7950000US0603757,"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California",Los Angeles County (South Central),"Compton City & West Rancho Dominguez PUMA, California",Compton City & West Rancho Dominguez ,31219,2273.0,66.0,81.0,31153.0,2276.0,26952.0,2071.0,6072.0,1157.0,23238.0,1987.0,7816.0,1428.0,5923.0,1110.0,
7950000US0603758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California",Los Angeles County (South Central),"Gardena, Lawndale Cities & West Athens PUMA; California","Gardena, Lawndale Cities & West Athens ",45280,2465.0,0.0,216.0,45280.0,2465.0,42736.0,2329.0,8168.0,1493.0,36282.0,2227.0,3581.0,864.0,6686.0,1324.0,
7950000US0603759,"Los Angeles County (South Central)--Hawthorne City PUMA, California",Los Angeles County (South Central),"Hawthorne City PUMA, California",Hawthorne City ,32117,2055.0,0.0,216.0,32117.0,2055.0,31367.0,2079.0,7248.0,1445.0,24322.0,2163.0,2509.0,771.0,3408.0,1056.0,
7950000US0603760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California",Los Angeles County,"Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California","Redondo Beach, Manhattan Beach & Hermosa Beach Cities ",52897,2590.0,0.0,216.0,52897.0,2590.0,50516.0,2738.0,2216.0,713.0,50120.0,2539.0,3031.0,827.0,2286.0,985.0,
7950000US0603761,"Los Angeles County (South Central)--Torrance City PUMA, California",Los Angeles County (South Central),"Torrance City PUMA, California",Torrance City ,43967,2318.0,0.0,216.0,43967.0,2318.0,40746.0,2309.0,3491.0,840.0,39539.0,2232.0,3297.0,767.0,2257.0,781.0,
7950000US0603762,"Los Angeles County (South Central)--Carson City PUMA, California",Los Angeles County (South Central),"Carson City PUMA, California",Carson City ,30652,2009.0,0.0,216.0,30652.0,2009.0,29485.0,1922.0,3125.0,967.0,26662.0,2001.0,3089.0,872.0,2116.0,650.0,
7950000US0603763,"Los Angeles County (South Central)--Long Beach City (North) PUMA, California",Los Angeles County (South Central),"Long Beach City (North) PUMA, California",Long Beach City (North) ,37797,2387.0,0.0,216.0,37797.0,2387.0,34222.0,2468.0,4953.0,1223.0,32177.0,2268.0,6220.0,1304.0,6414.0,1563.0,
7950000US0603764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California",Los Angeles County (South),"Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California","Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities ",43321,1647.0,130.0,124.0,43191.0,1655.0,38825.0,1807.0,2806.0,559.0,39094.0,1809.0,5223.0,1194.0,4720.0,1247.0,
7950000US0603765,"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California",Los Angeles County (Southeast),"Long Beach City (East) PUMA, California",Long Beach City (East) ,52449,2790.0,0.0,216.0,52449.0,2790.0,49495.0,2766.0,3987.0,1078.0,47598.0,2748.0,2550.0,659.0,2807.0,928.0,
7950000US0603766,"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California",Los Angeles County (South),"Long Beach City (Southwest & Port) PUMA, California",Long Beach City (Southwest & Port) ,29194,2405.0,27.0,45.0,29167.0,2408.0,27672.0,2323.0,5183.0,1148.0,23155.0,2510.0,1134.0,450.0,6224.0,1593.0,
7950000US0603767,"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California",Los Angeles County (South),"LA City (South/San Pedro) PUMA, California",South/San Pedro,58982,3083.0,258.0,267.0,58724.0,3051.0,56082.0,3037.0,12199.0,1923.0,43496.0,2715.0,5247.0,1191.0,5174.0,1295.0,
7950000US0603768,"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California",Los Angeles County (Southwest),"Palos Verdes Peninsula PUMA, California",Palos Verdes Peninsula ,41304,2499.0,77.0,126.0,41227.0,2456.0,39007.0,2416.0,4116.0,1070.0,35461.0,2563.0,3249.0,921.0,3166.0,1123.0,
7950000US0603769,"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California",Los Angeles County (Southeast),"Long Beach (Central) & Signal Hill Cities PUMA, California",Long Beach (Central) & Signal Hill Cities ,32005,2445.0,76.0,126.0,31929.0,2456.0,30998.0,2443.0,5387.0,1249.0,25771.0,2337.0,1113.0,456.0,4444.0,1388.0,
,,,,,,,,,,,,,,,,,,,,,
